Company,Role,URL,Platform,Location
Hudson River Trading,ETF Sales Trader,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7517262,Greenhouse,"New York, NY, United States"
Hudson River Trading,Junior Quantitative Latency Engineer,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7706268,Greenhouse,"Chicago, Illinois, United States; New York, NY, United States"
Hudson River Trading,Quantitative Latency Engineer,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7706309,Greenhouse,"Austin, TX, United States; Chicago, Illinois, United States; London, United Kingdom; New York, NY, United States; Singapore"
Hudson River Trading,Quantitative Researcher (Mid-Freq),https://www.hudsonrivertrading.com/careers/job/?gh_jid=3903145,Greenhouse,"New York, NY, United States"
Radix Trading,Quantitative Business Analyst,https://job-boards.greenhouse.io/radixuniversity/jobs/8080910002,Greenhouse,"Chicago, New York, Amsterdam"
Radix Trading,Quantitative Researcher (Full-Time - Master’s/Bachelor’s),https://job-boards.greenhouse.io/radixuniversity/jobs/8521642002,Greenhouse,"Chicago, New York, Amsterdam"
Radix Trading,Quantitative Researcher (Full-Time - PhD+),https://job-boards.greenhouse.io/radixuniversity/jobs/7841874002,Greenhouse,"Chicago, New York, Amsterdam"
Radix Trading,Quantitative Technologist (C++ Intern) ,https://job-boards.greenhouse.io/radixuniversity/jobs/8500265002,Greenhouse,Chicago
Radix Trading,Quantitative Technologist (Full-Time - C++ Developer) ,https://job-boards.greenhouse.io/radixuniversity/jobs/8500240002,Greenhouse,"Chicago, New York, Amsterdam"
Radix Trading,Quantitative Technologist (Full-Time - DevOps - Night Shift),https://job-boards.greenhouse.io/radixuniversity/jobs/8521641002,Greenhouse,Chicago
Radix Trading,Quantitative Technologist (Full-Time - DevOps & Systems Engineering),https://job-boards.greenhouse.io/radixuniversity/jobs/8521638002,Greenhouse,"Chicago, New York, Amsterdam"
Radix Trading,"Quantitative Technologist (Full-Time - FPGA Engineer, PhD) ",https://job-boards.greenhouse.io/radixuniversity/jobs/8521654002,Greenhouse,Chicago
Radix Trading,Quantitative Business Analyst,https://job-boards.greenhouse.io/radixexperienced/jobs/8468817002,Greenhouse,"Chicago, Illinois, United States; New York, New York, United States; Radix Trading Amsterdam"
Radix Trading,Quantitative Researcher,https://job-boards.greenhouse.io/radixexperienced/jobs/6629844002,Greenhouse,"Chicago, Illinois, United States; New York, New York, United States; Radix Trading Amsterdam"
Radix Trading,Quantitative Technologist,https://job-boards.greenhouse.io/radixexperienced/jobs/6629869002,Greenhouse,"Chicago, Illinois, United States; New York, New York, United States; Radix Trading Amsterdam"
DV Trading,Experienced Trader,https://job-boards.greenhouse.io/dvtrading/jobs/4018000005,Greenhouse,"Chicago; Dubai, Dubai, United Arab Emirates; London; New York"
DV Trading,Quantitative Trader (Multi-Asset - Chicago),https://job-boards.greenhouse.io/dvtrading/jobs/4687386005,Greenhouse,Chicago
DV Trading,Relative Value Trader,https://job-boards.greenhouse.io/dvtrading/jobs/4680204005,Greenhouse,Chicago
DV Trading,Trader,https://job-boards.greenhouse.io/dvtrading/jobs/4697819005,Greenhouse,Chicago
